event_id,scheduled_at,event_family,feature_ready_at,headline_surprise,revision_surprise,internal_breadth,regime_score,pre_volatility_bp,anchor_mid,residual_15m_bp,residual_60m_bp,entry_spread_bp,exit15_spread_bp,exit60_spread_bp,dataset_role,provenance
SYN-2024-06-NFP,2024-06-07T12:30:00+00:00,NFP,2024-06-07T12:30:35+00:00,0.7,0.2,0.3,-0.3,4.0,150.100,2.4,3.7,1.8,1.2,1.0,backtest,synthetic_fixture
SYN-2024-06-CPI,2024-06-12T12:30:00+00:00,CPI,2024-06-12T12:30:36+00:00,-0.6,0.1,-0.4,-0.2,5.5,150.400,-2.2,-3.0,2.0,1.4,1.1,backtest,synthetic_fixture
SYN-2024-07-NFP,2024-07-05T12:30:00+00:00,NFP,2024-07-05T12:30:31+00:00,1.1,0.3,0.8,0.2,6.0,151.000,4.5,6.8,2.4,1.6,1.2,backtest,synthetic_fixture
SYN-2024-07-CPI,2024-07-11T12:30:00+00:00,CPI,2024-07-11T12:30:33+00:00,-0.9,-0.1,-0.6,0.3,4.5,151.300,-3.5,-5.2,1.9,1.3,1.0,backtest,synthetic_fixture
SYN-2024-08-NFP,2024-08-02T12:30:00+00:00,NFP,2024-08-02T12:30:34+00:00,-0.5,-0.2,-0.2,0.4,7.0,150.800,-2.1,-3.3,3.0,2.0,1.5,backtest,synthetic_fixture
SYN-2024-08-CPI,2024-08-14T12:30:00+00:00,CPI,2024-08-14T12:30:30+00:00,0.8,0.2,0.5,0.5,5.0,150.500,3.3,5.0,2.2,1.5,1.1,backtest,synthetic_fixture
SYN-2024-09-NFP,2024-09-06T12:30:00+00:00,NFP,2024-09-06T12:30:32+00:00,0.2,0.0,0.1,0.7,3.5,149.900,0.9,1.4,1.6,1.1,0.9,backtest,synthetic_fixture
SYN-2024-09-CPI,2024-09-11T12:30:00+00:00,CPI,2024-09-11T12:30:35+00:00,-1.0,-0.3,-0.8,0.6,6.0,149.500,-4.4,-6.6,2.6,1.7,1.3,backtest,synthetic_fixture
SYN-2024-10-NFP,2024-10-04T12:30:00+00:00,NFP,2024-10-04T12:30:39+00:00,1.3,0.1,0.7,-0.1,7.5,150.000,4.2,6.0,3.2,2.1,1.6,backtest,synthetic_fixture
SYN-2024-10-CPI,2024-10-10T12:30:00+00:00,CPI,2024-10-10T12:30:28+00:00,0.4,-0.1,0.3,-0.3,4.0,150.400,1.2,1.9,1.7,1.2,0.9,backtest,synthetic_fixture
SYN-2024-11-NFP,2024-11-01T12:30:00+00:00,NFP,2024-11-01T12:30:34+00:00,-1.2,-0.4,-0.9,-0.4,8.0,151.000,-5.2,-7.8,3.5,2.3,1.8,backtest,synthetic_fixture
SYN-2024-11-CPI,2024-11-13T13:30:00+00:00,CPI,2024-11-13T13:30:36+00:00,0.6,0.3,0.4,-0.5,5.5,151.500,2.1,3.2,2.3,1.5,1.2,backtest,synthetic_fixture
SYN-2024-12-NFP,2024-12-06T13:30:00+00:00,NFP,2024-12-06T13:30:33+00:00,0.9,-0.1,0.6,-0.6,6.5,152.000,2.8,4.0,2.7,1.8,1.4,backtest,synthetic_fixture
SYN-2024-12-CPI,2024-12-11T13:30:00+00:00,CPI,2024-12-11T13:30:31+00:00,-0.7,-0.2,-0.5,-0.7,5.0,152.400,-3.0,-4.5,2.1,1.4,1.1,backtest,synthetic_fixture
SYN-2025-01-NFP,2025-01-10T13:30:00+00:00,NFP,2025-01-10T13:30:34+00:00,1.0,0.2,0.7,0.3,6.0,153.000,4.1,6.2,2.5,1.7,1.3,forward,synthetic_fixture
SYN-2025-01-CPI,2025-01-15T13:30:00+00:00,CPI,2025-01-15T13:30:30+00:00,-0.5,-0.1,-0.4,0.4,4.5,153.400,-2.0,-3.1,1.9,1.3,1.0,forward,synthetic_fixture
SYN-2025-02-NFP,2025-02-07T13:30:00+00:00,NFP,2025-02-07T13:30:35+00:00,0.3,0.1,0.2,0.5,5.0,153.800,1.3,2.1,2.0,1.4,1.1,forward,synthetic_fixture
SYN-2025-02-CPI,2025-02-12T13:30:00+00:00,CPI,2025-02-12T13:30:32+00:00,1.2,0.3,0.8,0.6,7.0,154.100,4.7,7.0,3.0,2.0,1.5,forward,synthetic_fixture
SYN-2025-03-NFP,2025-03-07T13:30:00+00:00,NFP,2025-03-07T13:30:36+00:00,-0.8,-0.2,-0.6,0.7,6.5,154.500,-3.3,-5.0,2.8,1.9,1.4,forward,synthetic_fixture
SYN-2025-03-CPI,2025-03-12T12:30:00+00:00,CPI,2025-03-12T12:30:31+00:00,0.5,0.0,0.4,0.8,4.0,154.000,2.2,3.4,1.7,1.2,0.9,forward,synthetic_fixture
SYN-2025-04-NFP,2025-04-04T12:30:00+00:00,NFP,2025-04-04T12:30:33+00:00,-1.1,-0.3,-0.7,-0.2,8.0,153.500,-4.9,-7.2,3.5,2.3,1.8,forward,synthetic_fixture
SYN-2025-04-CPI,2025-04-10T12:30:00+00:00,CPI,2025-04-10T12:30:29+00:00,0.7,0.2,0.5,-0.3,5.5,153.100,2.6,4.0,2.3,1.6,1.2,forward,synthetic_fixture
SYN-2025-05-NFP,2025-05-02T12:30:00+00:00,NFP,2025-05-02T12:30:37+00:00,1.4,-0.1,0.9,-0.4,7.5,152.800,4.3,6.3,3.2,2.1,1.6,forward,synthetic_fixture
SYN-2025-05-CPI,2025-05-13T12:30:00+00:00,CPI,2025-05-13T12:30:34+00:00,-1.0,-0.4,-0.8,-0.5,6.0,152.400,-4.6,-6.9,2.7,1.8,1.4,forward,synthetic_fixture
SYN-2025-06-NFP,2025-06-06T12:30:00+00:00,NFP,2025-06-06T12:30:30+00:00,0.6,0.2,0.3,-0.6,4.5,152.000,1.9,2.9,1.9,1.3,1.0,forward,synthetic_fixture
SYN-2025-06-CPI,2025-06-11T12:30:00+00:00,CPI,2025-06-11T12:30:35+00:00,-0.4,0.1,-0.2,-0.7,5.0,151.700,-1.5,-2.4,2.0,1.4,1.1,forward,synthetic_fixture
